asignatura,bloque,subbloques,prioridad_mvp,notas_revision
Matemáticas II,Álgebra,Sistemas de ecuaciones lineales | Matrices: operaciones y propiedades | Determinantes | Rango de una matriz | Discusión de sistemas (Rouché-Frobenius),Alta,El bloque de álgebra aparece en casi todos los exámenes PAU de Madrid. Revisar si los ejercicios indexados cubren todos los subbloques.
Matemáticas II,Análisis,Límites y continuidad | Derivadas: reglas y aplicaciones | Estudio de funciones | Integrales indefinidas | Integrales definidas | Cálculo de áreas,Alta,El análisis es el bloque con más peso en PAU Madrid. Revisar distribución de ejercicios por subbloque.
Matemáticas II,Geometría,Vectores en el plano y en el espacio | Ecuaciones de la recta y el plano | Posiciones relativas (recta-recta recta-plano plano-plano) | Distancias y ángulos,Alta,Revisar si todos los tipos de ejercicios de geometría analítica están indexados.
Matemáticas II,Estadística y probabilidad,Variables estadísticas | Distribución binomial | Distribución normal | Probabilidad clásica | Regla de Laplace | Probabilidad condicionada | Teorema de Bayes,Media,Confirmar si Bayes y la distribución binomial entran siempre en PAU Madrid y Cataluña.
Matemáticas II,Simulacros mixtos,Mezcla de álgebra + análisis | Mezcla de análisis + geometría | Mezcla de todos los bloques | Exámenes completos PAU reales,Alta,Los simulacros mixtos son la preparación final. Confirmar que hay suficientes exámenes reales disponibles.
Historia de España,Antiguo Régimen,La monarquía absoluta | Sociedad estamental | Economía del Antiguo Régimen | La España del siglo XVIII | Las reformas borbónicas,Alta,Revisar si este bloque es el punto de partida en todas las CCAA o varía.
Historia de España,Crisis del Antiguo Régimen,La Ilustración española | Impacto de la Revolución Francesa | El reformismo ilustrado | Guerra de Independencia (1808-1814) | Las Cortes de Cádiz y la Constitución de 1812,Alta,Confirmar si la Revolución Francesa entra explícitamente en el temario PAU de cada CCAA o solo como contexto.
Historia de España,Construcción del Estado liberal,El reinado de Fernando VII: absolutismo y liberalismo | Las guerras carlistas | El reinado de Isabel II | Los partidos políticos del liberalismo | El Sexenio Democrático (1868-1874),Alta,Bloque extenso — revisar si se divide en dos semanas o se puede condensar.
Historia de España,Restauración,El sistema de Cánovas del Castillo | El bipartidismo | La crisis del 98 | El regeneracionismo | El reinado de Alfonso XIII | Crisis del sistema de Restauración,Alta,—
Historia de España,Segunda República,La proclamación de la Segunda República | El bienio reformista (1931-1933) | El bienio conservador (1933-1935) | El Frente Popular | Las causas del golpe de estado de 1936,Alta,—
Historia de España,Guerra Civil,El golpe de estado y el inicio de la guerra | El desarrollo del conflicto | Los apoyos internacionales | Las consecuencias de la guerra | El exilio republicano,Alta,—
Historia de España,Franquismo,Las etapas del franquismo | La autarquía | El desarrollismo económico | La sociedad franquista | La oposición al régimen | Los últimos años del franquismo,Alta,Bloque con mucha materia — revisar cuántos ejercicios y fuentes históricas hay disponibles.
Historia de España,Transición democrática,La muerte de Franco y el inicio de la transición | La Ley para la Reforma Política | Los Pactos de la Moncloa | La Constitución de 1978 | El Estado de las Autonomías,Alta,—
Historia de España,España democrática,Los gobiernos de UCD | La consolidación democrática | El ingreso en la CEE | Los gobiernos del PSOE (1982-1996) | Los gobiernos del PP | España en el siglo XXI,Media,Revisar hasta qué fecha llega el temario en cada CCAA. Madrid y Cataluña pueden diferir.
Historia de España,Fuentes históricas y comentario de texto,Análisis de fuentes primarias | Comentario de texto histórico | Análisis de mapas e imágenes históricas | Estrategia de respuesta en examen,Alta,El comentario de texto histórico es una de las preguntas más frecuentes y exigentes. Revisar si hay guías de corrección disponibles.
Inglés,Reading,Comprensión de textos informativos y periodísticos | Comprensión de textos de opinión | Preguntas de verdadero/falso con justificación | Preguntas de comprensión específica | Resumen del texto,Alta,El reading es la primera parte del examen PAU de inglés en todas las CCAA. Revisar tipos de texto más frecuentes por CCAA.
Inglés,Use of English,Transformación de frases (word transformation) | Relleno de huecos en contexto (cloze) | Formación de palabras | Error correction | Phrasal verbs frecuentes,Alta,El use of English tiene formatos diferentes entre CCAA. Confirmar qué subbloques son comunes y cuáles específicos de Madrid o Cataluña.
Inglés,Vocabulary,Collocations frecuentes en PAU | Vocabulario por temas (medio ambiente tecnología sociedad) | Sinónimos y antónimos en contexto | Phrasal verbs de nivel B2,Media,Revisar si hay listas de vocabulario específicas para PAU Madrid y PAU Cataluña.
Inglés,Writing,Texto argumentativo o de opinión (150-200 palabras) | Estructura del writing PAU | Conectores y marcadores discursivos | Registro formal e informal | Errores más frecuentes,Alta,El writing se corrige con IA. Revisar prompt de corrección de writing en inglés PAU.
Inglés,Connectors,Marcadores de contraste (however although despite) | Marcadores de causa y efecto | Marcadores de adición y enumeración | Marcadores de conclusión,Media,Los conectores son transversales al writing y al use of English. Puede ser un subbloque en lugar de un bloque independiente.
Inglés,Grammar,Tiempos verbales básicos y avanzados | Conditionals (0 1 2 3 y mixtos) | Modal verbs | Reported speech | Voz pasiva | Relative clauses,Alta,La gramática es transversal. Revisar si tiene sentido como bloque independiente o como soporte del resto de bloques.
Inglés,Exam strategy,Gestión del tiempo en el examen PAU de inglés | Orden de respuesta de las preguntas | Cómo leer el texto antes de responder | Cómo evitar errores frecuentes en writing,Alta,La estrategia se trabaja principalmente en fase 3. Revisar si hay guías de estrategia específicas para PAU inglés por CCAA.
