evento,xp,requisito,efecto,notas
flashcard completada,5,Completar una flashcard (marcar si se sabía o no),Suma 5 XP al total y al nivel de la asignatura,El XP se otorga independientemente de si el alumno supo la respuesta. El intento cuenta.
ejercicio corto completado,15,Resolver y enviar un ejercicio corto,Suma 15 XP al total y al nivel de la asignatura,En ejercicios automáticos (matemáticas) se valida la respuesta. En ejercicios de respuesta abierta sin IA el alumno autovalida.
corrección IA completada,30,Escribir y enviar una respuesta larga para corrección IA,Suma 30 XP al total y al nivel de la asignatura,Solo suma XP si el alumno envía el texto. Ver el enunciado sin responder no suma XP.
repaso de error completado,20,Intentar un ejercicio del historial de errores,Suma 20 XP aunque el alumno no lo resuelva correctamente,El intento cuenta. No penalizar los errores para mantener la motivación.
mini simulacro completado,50,Completar 1-2 preguntas de examen PAU en formato simulacro,Suma 50 XP al total y al nivel de la asignatura,Se considera completado si el alumno responde todas las preguntas del mini simulacro.
simulacro completo completado,100,Completar un examen PAU completo en formato simulacro,Suma 100 XP al total y al nivel de la asignatura,Se considera completado si el alumno envía todas las respuestas (independientemente de la nota).
writing con corrección IA completado,25,Escribir y enviar un texto de writing para corrección IA,Suma 25 XP al total y al nivel de Inglés,Específico para la tarea de writing en inglés.
test completado,10,Completar un test de opción múltiple o respuesta corta,Suma 10 XP al total y al nivel de la asignatura,El test se considera completado cuando el alumno responde todas las preguntas.
racha 3 días consecutivos,20 extra,Completar la misión diaria al 100% durante 3 días seguidos,Suma 20 XP extra + notificación de felicitación,El bonus se suma una sola vez al llegar a 3 días. La racha continúa sumando hacia 7.
racha 7 días consecutivos,50 extra,Completar la misión diaria al 100% durante 7 días seguidos,Suma 50 XP extra + badge "Semana perfecta",El bonus de 7 días incluye los 20 XP del hito de 3 días si no se habían sumado antes o solo 30 XP extra adicionales. Revisar con el equipo.
racha 30 días consecutivos,0,Completar la misión diaria al 100% durante 30 días seguidos,Badge especial "Mes sin parar" — sin XP extra pero reconocimiento visual permanente,Decisión de diseño: los hitos largos son reconocimiento no monetario. Revisar si esto es suficiente motivación.
pérdida de racha,0,No completar ninguna tarea durante un día completo,La racha vuelve a 0. Sin penalización de XP.,El XP nunca baja. Solo la racha se reinicia. El alumno no pierde nada de lo acumulado.
misión parcial completada,proporcional,Completar entre el 50% y el 99% de la misión del día,Suma XP proporcional a las tareas completadas. No mantiene la racha.,Ejemplo: si la misión vale 60 XP y el alumno completa el 60% suma 36 XP pero pierde la racha.
misión completa al 100%,total según tareas,Completar todas las tareas de la misión del día,Suma todo el XP de las tareas + mantiene la racha activa,Es el único caso en que la racha se mantiene y se acumulan los bonus de hitos.
