semana	fechas_aproximadas	fase	objetivo_semanal	matematicas_ii	historia_espana	ingles	tipo_mision_diaria	duracion_estimada	notas_revision
1	1-7 sep	1	Bienvenida, diagnóstico y configuración del perfil	Diagnóstico inicial + álgebra base PAU	Introducción al Antiguo Régimen y sociedad estamental	Vocabulario básico PAU + diagnóstico reading	flashcard + test	15-20 min	Semana corta para activar hábito sin abrumar
2	8-14 sep	1	Primeras tareas reales	Álgebra: sistemas de ecuaciones lineales	Antiguo Régimen: economía, sociedad y monarquía absoluta	Reading: comprensión general de texto PAU	flashcard + ejercicio_corto	20 min	—
3	15-21 sep	1	Consolidar hábito diario	Álgebra: matrices y determinantes	Reformismo borbónico e Ilustración en España	Reading: preguntas de comprensión tipo PAU	ejercicio_corto + flashcard	20 min	Revisar si hay suficientes ejercicios reales de matrices y determinantes
4	22-28 sep	1	Primer repaso guiado	Álgebra: repaso de sistemas, matrices y determinantes	Crisis del Antiguo Régimen: contexto europeo y español	Use of English: léxico en contexto	repaso_error + ejercicio_corto	20 min	—
5	29 sep - 5 oct	1	Primer bloque de análisis	Análisis: límites y continuidad de funciones	Crisis del Antiguo Régimen: Guerra de Independencia	Use of English: word formation / transformación gramatical	ejercicio_corto + flashcard	20-25 min	Validar diferencias Madrid/Cataluña en Historia
6	6-12 oct	1	Profundizar en análisis	Análisis: derivadas y reglas de derivación	Constitución de 1812 y liberalismo	Vocabulary: collocations y conectores frecuentes	ejercicio_corto + correccion_ia	20-25 min	Meter primera corrección IA corta para activar valor premium
7	13-19 oct	1	Análisis aplicado	Análisis: aplicaciones de la derivada, máximos y mínimos	Reinado de Fernando VII: absolutismo y liberalismo	Grammar: tiempos verbales + errores frecuentes	ejercicio_corto + flashcard	20-25 min	—
8	20-26 oct	1	Repaso álgebra y análisis	Repaso mixto álgebra + análisis inicial	Construcción del Estado liberal: introducción y conflicto político	Writing: mini redacción PAU 100-120 palabras	repaso_error + writing + flashcard	25 min	Primera semana de cierre: revisar si el alumno entiende su progreso
9	27 oct - 2 nov	1	Geometría inicial	Geometría: vectores, operaciones y representación	Estado liberal: reinado de Isabel II y partidos políticos	Writing: estructura básica del párrafo PAU	ejercicio_corto + flashcard	20-25 min	Validar que geometría entra en la misma profundidad según comunidad autónoma
10	3-9 nov	1	Geometría analítica	Geometría: ecuaciones de recta y plano	Sexenio Democrático: revolución de 1868, Amadeo I y Primera República	Writing: conectores y coherencia textual	ejercicio_corto	25 min	—
11	10-16 nov	1	Geometría aplicada con IA	Geometría: distancias, ángulos y posiciones relativas	Restauración: sistema de Cánovas, Constitución de 1876 y turno de partidos	Writing: práctica guiada con corrección IA	correccion_ia	25 min	Primera semana con corrección IA de writing — revisar prompt y criterios
12	17-23 nov	1	Estadística básica	Estadística: variables, distribuciones y parámetros básicos	Restauración: crisis del 98 y regeneracionismo	Use of English: transformación de frases	ejercicio_corto + flashcard	20-25 min	Validar si estadística entra igual en todas las CCAA objetivo
