semana,fechas_aproximadas,fase,objetivo_semanal,matematicas_ii,historia_espana,ingles,tipo_mision_diaria,duracion_estimada,notas_revision
1,1-7 sep,1,Bienvenida y configuración del perfil,Números reales y álgebra básica,Introducción al Antiguo Régimen,Vocabulario básico PAU,flashcard + ejercicio_corto,15 min,Revisar si la semana de bienvenida debe ser más corta para no abrumar
2,8-14 sep,1,Primeras tareas reales,Álgebra: sistemas de ecuaciones lineales,Antiguo Régimen: sociedad estamental y economía,Reading: comprensión general de texto,flashcard + ejercicio_corto,20 min,—
3,15-21 sep,1,Consolidar hábito diario,Álgebra: matrices y determinantes,Antiguo Régimen: política y monarquía absoluta,Reading: preguntas de comprensión tipo PAU,ejercicio_corto,20 min,¿Hay suficientes ejercicios reales de álgebra matricial en la base de datos?
4,22-28 sep,1,Primer repaso y flashcards,Álgebra: repaso y flashcards de conceptos,Crisis del Antiguo Régimen: Ilustración y reformismo borbónico,Use of English: léxico en contexto,flashcard + repaso_error,20 min,—
5,29 sep - 5 oct,1,Nuevo bloque temático,Análisis: límites y continuidad de funciones,Crisis: Revolución Francesa e impacto en España,Use of English: gramática y transformación,ejercicio_corto,20 min,Revisar si la Revolución Francesa forma parte del temario oficial PAU Madrid y Cataluña
6,6-12 oct,1,Profundizar en análisis,Análisis: derivadas y reglas de derivación,Crisis: España en el siglo XVIII y reformas borbónicas,Vocabulary: collocations y expresiones frecuentes,ejercicio_corto,20 min,—
7,13-19 oct,1,Análisis aplicado,Análisis: aplicaciones de la derivada (máximos y mínimos),Estado liberal: Guerra de Independencia y Constitución de 1812,Grammar: tiempos verbales presente y pasado,ejercicio_corto + flashcard,20 min,—
8,20-26 oct,1,Repaso álgebra y análisis,Repaso mixto álgebra y análisis,Estado liberal: reinado de Fernando VII y absolutismo,Reading + vocabulary mixto,repaso_error + flashcard,20 min,Revisar si hay ejercicios mixtos suficientes para el repaso
9,27 oct - 2 nov,1,Geometría inicial,Geometría: vectores y operaciones,Estado liberal: reinado de Isabel II y partidos políticos,Writing: estructura básica del párrafo PAU,ejercicio_corto,20 min,—
10,3-9 nov,1,Geometría avanzada,Geometría: ecuaciones de la recta y el plano,Restauración: sistema de Cánovas y bipartidismo,Writing: conectores y coherencia textual,ejercicio_corto,25 min,—
11,10-16 nov,1,Geometría aplicada con IA,Geometría: distancias y posiciones relativas,Restauración: crisis del 98 y sus consecuencias,Writing: práctica guiada con corrección IA,correccion_ia,25 min,Primera semana con corrección IA de writing — revisar prompt y criterios de corrección
12,17-23 nov,1,Estadística básica,Estadística: variables y distribuciones básicas,Restauración baja: Alfonso XIII y crisis del sistema,Use of English: transformación de frases,ejercicio_corto,20 min,—
13,24-30 nov,1,Probabilidad,Probabilidad: combinatoria y espacio muestral,Segunda República: proclamación y bienio reformista,Vocabulary: vocabulario de temas sociales,flashcard + ejercicio_corto,20 min,Verificar si la distribución binomial y Bayes entra siempre en PAU Madrid
14,1-7 dic,1,Repaso estadística y probabilidad,Estadística y probabilidad: repaso y errores,Segunda República: bienio negro y Frente Popular,Reading: texto de prensa o periodístico,repaso_error,20 min,—
15,8-14 dic,1,Primer mini simulacro,Mini simulacro: álgebra o análisis (elegir),Historia: mini simulacro temática Restauración,Mini test inglés (reading + use of english),mini_simulacro,30 min,Primera semana con mini simulacro — revisar formato y tiempo asignado
16,15-21 dic,1,Repaso fase 1 y descanso navideño,Repaso general fase 1 con flashcards,Repaso general fase 1 con flashcards,Repaso general fase 1 con flashcards,repaso_error + flashcard,15 min,Semana previa a vacaciones — misión reducida intencionalmente
17,12-18 ene,2,Vuelta al hábito tras Navidad,Análisis: integrales (introducción y notación),Guerra Civil: causas y sublevación,Grammar: reported speech y estilo indirecto,ejercicio_corto,20 min,Vuelta de vacaciones — incluir misión de reactivación si lleva más de 2 días sin entrar
18,19-25 ene,2,Integrales y corrección IA,Análisis: integrales definidas y propiedades,Guerra Civil: desarrollo y bando nacional vs republicano,Writing: texto argumentativo con corrección IA,ejercicio_corto + correccion_ia,25 min,—
19,26 ene - 1 feb,2,Integrales aplicadas,Análisis: cálculo de áreas entre curvas,Guerra Civil: consecuencias y fin de la guerra,Reading: texto literario en inglés,ejercicio_corto,25 min,¿Hay suficientes ejercicios PAU de áreas para dos semanas completas?
20,2-8 feb,2,Mezcla de bloques matemáticas,Álgebra + análisis mezclados en misión,Franquismo: etapas y evolución del régimen,Use of English: phrasal verbs frecuentes en PAU,mini_simulacro,30 min,—
21,9-15 feb,2,Detección de puntos débiles,Repaso del bloque con más errores acumulados,Franquismo: economía y sociedad en los años 60-70,Writing libre con corrección IA,correccion_ia,25 min,—
22,16-22 feb,2,Historia segunda mitad y geometría,Geometría: repaso y ejercicios nuevos,Franquismo tardío y oposición política,Vocabulary: temas económicos y políticos,ejercicio_corto + flashcard,25 min,—
23,23 feb - 1 mar,2,Simulacro mixto por asignatura,Mini simulacro mixto álgebra + análisis,Mini simulacro: preguntas de tema histórico,Mini test inglés completo (reading + use of english + writing corto),mini_simulacro,35 min,Revisar formato del mini test inglés y criterios de puntuación
24,2-8 mar,2,España democrática y estadística,Estadística: repaso y ejercicios tipo PAU,España democrática: Constitución de 1978 y transición,Reading: artículo de opinión en inglés,ejercicio_corto,25 min,—
25,9-15 mar,2,Repaso bloques historia y gramática,Probabilidad: repaso y errores acumulados,Historia: repaso cronológico bloques 1 a 4,Grammar: conditionals y modal verbs,repaso_error,25 min,—
26,16-22 mar,2,Predicción de nota con datos reales,Simulacro parcial: análisis (2-3 ejercicios),Historia: mini simulacro mixto (2 temas),Writing + reading: simulacro parcial inglés,mini_simulacro + correccion_ia,35 min,Semana de revisión de predicción de nota — ¿tiene datos suficientes para ser útil aquí?
27,23-29 mar,2,Repaso cierre fase 2,Repaso general con enfoque en errores recurrentes,Repaso general historia con flashcards,Repaso vocabulario y gramática,repaso_error + flashcard,20 min,—
28,30 mar - 5 abr,2,Cierre fase 2 con simulacros,Simulacro parcial: álgebra + estadística,Simulacro parcial: 3 temas históricos,Mini simulacro inglés completo,mini_simulacro,35 min,Semana de transición a fase 3 — revisar si la intensidad es adecuada
29,6-12 abr,3,Estrategia de examen,Estrategia: qué ejercicios elegir y en qué orden,Estrategia: cómo estructurar el comentario de texto histórico,Estrategia: gestión del tiempo en el examen PAU de inglés,ejercicio_corto + reading,25 min,Revisar si hay guías de estrategia ya preparadas o hay que crearlas
30,13-19 abr,3,Formato examen real PAU,Simulacro parcial en formato PAU real,Examen real PAU: corrección IA del comentario de texto,Writing completo con corrección IA,correccion_ia + mini_simulacro,40 min,—
31,20-26 abr,3,Bloques más débiles,Identificar y atacar el bloque con más errores del año,Historia: repaso de los temas con peor resultado,Inglés: tipo de tarea con mayor tasa de error,repaso_error + ejercicio_corto,30 min,—
32,27 abr - 3 may,3,Simulacro parcial intenso,Simulacro: 2 preguntas en formato PAU real,Historia: simulacro tema + fuente histórica,Reading + writing: examen parcial inglés completo,mini_simulacro + correccion_ia,40 min,—
33,4-10 may,3,Repaso final fase 3,Repaso general y consolidación de errores,Repaso cronológico rápido de toda la historia,Vocabulary y grammar: repaso sistemático rápido,repaso_error + flashcard,25 min,Revisar si queda margen suficiente entre esta semana y el inicio de simulacros completos
34,11-17 may,4,Primer simulacro completo,Simulacro completo Matemáticas II (formato real PAU),Simulacro completo Historia de España (formato real PAU),Simulacro completo Inglés (formato real PAU),simulacro_completo,50 min,Primera semana de simulacros completos — revisar duración máxima recomendada
